,S
2010-11-11,1.4601370663680002
2010-11-12,1.4340283813584271
2010-11-15,1.4049798262579816
2010-11-16,1.4011143500534504
2010-11-17,1.4363390679278336
2010-11-18,1.4062792114167957
2010-11-19,1.4399395315061778
2010-11-22,1.4155246247513669
2010-11-23,1.430669758441161
2010-11-24,1.4209465721835828
2010-11-26,1.4313236006848593
2010-11-29,1.3592775242254527
2010-11-30,1.3295672024235001
2010-12-01,1.3484578508722196
2010-12-02,1.3783414627842598
2010-12-03,1.40875532955144
2010-12-06,1.401520271180065
2010-12-07,1.4002470532605669
2010-12-08,1.3707547729210838
2010-12-09,1.3822163261721663
2010-12-10,1.4085071974097905
2010-12-13,1.4011874395926898
2010-12-14,1.406394671791444
2010-12-15,1.3813801833709551
2010-12-16,1.3806778746452375
2010-12-17,1.3721069820534229
2010-12-20,1.365687110993618
2010-12-21,1.3292096658318746
2010-12-22,1.315323076939437
2010-12-23,1.3120598437443316
2010-12-27,1.3103988632827301
2010-12-28,1.3328537120652963
2010-12-29,1.3509988947405243
2010-12-30,1.3573300161048332
2010-12-31,1.3410139746182888
2011-01-03,1.343524318284105
2011-01-04,1.34068183926358
2011-01-05,1.3557189883288214
2011-01-06,1.3412662455562077
2011-01-07,1.3300356939944153
2011-01-10,1.3491933621581504
2011-01-11,1.3524473620473443
2011-01-12,1.3391991421290506
2011-01-13,1.3555582996046962
2011-01-14,1.3025488981951907
2011-01-18,1.3117164537751156
2011-01-19,1.3164832046710448
2011-01-20,1.3027898373806626
2011-01-21,1.3144375048537935
2011-01-24,1.3212113309389837
2011-01-25,1.3091228362145675
2011-01-26,1.294519214522449
2011-01-27,1.2966477450858407
2011-01-28,1.2881615768724282
2011-01-31,1.351473374115017
2011-02-01,1.3432025219322516
2011-02-02,1.3028821095707246
2011-02-03,1.2964846330257322
2011-02-04,1.2868663545326517
2011-02-07,1.262301086463099
2011-02-08,1.2838636607698084
2011-02-09,1.2881792993708987
2011-02-10,1.2853933411452192
2011-02-11,1.2655455311328982
2011-02-14,1.2341385664215268
2011-02-15,1.221566435855175
2011-02-16,1.2017851799821042
2011-02-17,1.1973493416836258
2011-02-18,1.2170896608210737
2011-02-22,1.1686619169070656
2011-02-23,1.2069454442726801
2011-02-24,1.2045670587986648
2011-02-25,1.1869830451193752
2011-02-28,1.1823469757925908
2011-03-01,1.1345593049082872
2011-03-02,1.1612074032096675
2011-03-03,1.1561291113736394
2011-03-04,1.1845458487390068
2011-03-07,1.2155281794361743
2011-03-08,1.2160529520264456
2011-03-09,1.236570546476358
2011-03-10,1.2323405968174546
2011-03-11,1.2769514962458206
2011-03-14,1.278813327420939
2011-03-15,1.2861473469408837
2011-03-16,1.2892885655420703
2011-03-17,1.3302643445707432
2011-03-18,1.3294115589838915
2011-03-21,1.3195757266879535
2011-03-22,1.3321118960964295
2011-03-23,1.3285556812052575
2011-03-24,1.3389616221621827
2011-03-25,1.3193520299375416
2011-03-28,1.3003229266216831
2011-03-29,1.2776896496458678
2011-03-30,1.2593014474771909
2011-03-31,1.2735885218226164
2011-04-01,1.2794678993245243
2011-04-04,1.280554137395747
2011-04-05,1.2793169969527907
2011-04-06,1.2930886774074455
2011-04-07,1.2867485021174483
2011-04-08,1.2881607911106772
2011-04-11,1.2874146809719345
2011-04-12,1.3105344851488243
2011-04-13,1.3331716803616678
2011-04-14,1.3628933032298094
2011-04-15,1.3850762614328196
2011-04-18,1.3909922491734565
2011-04-19,1.410635371807276
2011-04-20,1.385872123713193
2011-04-21,1.3897563520531184
2011-04-25,1.3672935843515162
2011-04-26,1.3646415805345584
2011-04-27,1.3609738785821142
2011-04-28,1.3625262751787157
2011-04-29,1.3338872804591313
2011-05-02,1.3254402437752164
2011-05-03,1.3343925289037866
2011-05-04,1.3505375122092156
2011-05-05,1.3394744006196337
2011-05-06,1.3729653662473558
2011-05-09,1.3886211085979616
2011-05-10,1.3882524342618345
2011-05-11,1.3994085944332726
2011-05-12,1.3790122361718669
2011-05-13,1.4074352690517054
2011-05-16,1.4196689159564984
2011-05-17,1.4150815458378536
2011-05-18,1.4027680357995265
2011-05-19,1.3515129195351427
2011-05-20,1.3412153071037456
2011-05-23,1.3451779646394166
2011-05-24,1.3680928861495996
2011-05-25,1.3818501294127108
2011-05-26,1.3762474146716137
2011-05-27,1.4035451928264089
2011-05-31,1.3764393225425158
2011-06-01,1.3870703360353147
2011-06-02,1.465040018798876
2011-06-03,1.4540251176384222
2011-06-06,1.4629005457127957
2011-06-07,1.4674551857165943
2011-06-08,1.4792507127533425
2011-06-09,1.4731031053960826
2011-06-10,1.4699980227667955
2011-06-13,1.438397305229991
2011-06-14,1.3957185302448285
2011-06-15,1.39684651527968
2011-06-16,1.4255554245567008
2011-06-17,1.4215654012244687
2011-06-20,1.3970306113453996
2011-06-21,1.398776955040333
2011-06-22,1.422856437767907
2011-06-23,1.4316155695192192
2011-06-24,1.432314765240835
2011-06-27,1.4500203524148743
2011-06-28,1.4655900109576336
2011-06-29,1.4818897545456555
2011-06-30,1.5078594579156066
2011-07-01,1.5284074047766252
2011-07-05,1.5551739361428163
2011-07-06,1.5543153476804064
2011-07-07,1.5471099200210587
2011-07-08,1.5506643130340645
2011-07-11,1.5494750920881892
2011-07-12,1.5614094644014054
2011-07-13,1.5624652246678998
2011-07-14,1.55191940187109
2011-07-15,1.535526634471772
2011-07-18,1.5637459614184097
2011-07-19,1.587449905169075
2011-07-20,1.6039059811920127
2011-07-21,1.6082395330567691
2011-07-22,1.6154352179214313
2011-07-25,1.5902274947147552
2011-07-26,1.588618656108501
2011-07-27,1.5881246933462398
2011-07-28,1.624776341850949
2011-07-29,1.6110907957166605
2011-08-01,1.6200448275150463
2011-08-02,1.6103034596769785
2011-08-03,1.6604452350123111
2011-08-04,1.6540116129935465
2011-08-05,1.787405286844679
2011-08-08,1.7949907149110433
2011-08-09,2.0523541424615925
2011-08-10,2.120505116416212
2011-08-11,2.2503601223822582
2011-08-12,2.3458078150432256
2011-08-15,2.3370195703054026
2011-08-16,2.3540428682446666
2011-08-17,2.3290423768065334
2011-08-18,2.305702830569327
2011-08-19,2.3493609524984533
2011-08-22,2.333638897207799
2011-08-23,2.3282071840199947
2011-08-24,2.3471460018672645
2011-08-25,2.3329925674479917
2011-08-26,2.3220252664734136
2011-08-29,2.3378995758753645
2011-08-30,2.325915081798455
2011-08-31,2.3107510828425846
2011-09-01,2.314559043567276
2011-09-02,2.3272803182277264
2011-09-06,2.3458290296259543
2011-09-07,2.3402807527270375
2011-09-08,2.394151812380952
2011-09-09,2.354299957089935
2011-09-12,2.353950169482767
2011-09-13,2.3422277124329995
2011-09-14,2.369227681851682
2011-09-15,2.3853316185245905
2011-09-16,2.3769257022171493
2011-09-19,2.3524179384054587
2011-09-20,2.3548809169410814
2011-09-21,2.3559177484193135
2011-09-22,2.3671177446597733
2011-09-23,2.4044521847723264
2011-09-26,2.4047969116372885
2011-09-27,2.3982713866792547
2011-09-28,2.3845489016895334
2011-09-29,2.4021735670529085
2011-09-30,2.369984654149543
2011-10-03,2.385456341276997
2011-10-04,2.390113668540317
2011-10-05,2.3555643981972434
2011-10-06,2.3320179606503597
2011-10-07,2.3355301122550522
2011-10-10,2.3391189971558037
2011-10-11,2.367572432522467
2011-10-12,2.3488685355027803
2011-10-13,2.355825660731394
2011-10-14,2.368644241174035
2011-10-17,2.374124579043605
2011-10-18,2.3632301125465505
2011-10-19,2.3447598763362874
2011-10-20,2.353255399211904
2011-10-21,2.3467410323314324
2011-10-24,2.3543076102169547
2011-10-25,2.3690340132032253
2011-10-26,2.3593038597139526
2011-10-27,2.330687196481619
2011-10-28,2.3311787512958153
2011-10-31,2.278039992995276
2011-11-01,2.3107935397161254
2011-11-02,2.2322118710530834
2011-11-03,2.197052994468963
2011-11-04,2.139849598508453
2011-11-07,2.078344017305453
2011-11-08,2.085628001553778
2011-11-09,2.0915573976420707
2011-11-10,2.143753599062019
2011-11-11,2.146399167965372
2011-11-14,2.125961297214385
2011-11-15,2.122044243757325
2011-11-16,2.1037674488957943
2011-11-17,2.0931884656678537
2011-11-18,2.099956904252078
2011-11-21,2.1051662244504348
2011-11-22,2.0895081631425847
2011-11-23,2.0528898659377184
2011-11-25,2.052096142207985
2011-11-28,2.065903321758529
2011-11-29,2.0933226389250366
2011-11-30,2.0539322082655422
2011-12-01,2.1212997922034353
2011-12-02,2.112880450438654
2011-12-05,2.0799724355772273
2011-12-06,2.061422641375027
2011-12-07,2.086955092860543
2011-12-08,2.0592596457404224
2011-12-09,2.0631351596789145
2011-12-12,2.0635690893311587
2011-12-13,2.074549242956423
2011-12-14,2.0786688429405173
2011-12-15,2.0669916754742994
2011-12-16,2.0620758120830396
2011-12-19,2.029665385847771
2011-12-20,2.050286308455762
2011-12-21,2.0749350234659807
2011-12-22,2.0528389789438943
2011-12-23,2.040746985715217
2011-12-27,2.0301455488944877
2011-12-28,2.0196657500098905
2011-12-29,2.018793280221108
2011-12-30,2.0426220119106744
2012-01-03,2.0623131877929617
2012-01-04,2.055651879432973
2012-01-05,2.04813564125686
2012-01-06,2.010057636842456
2012-01-09,1.9987185192395513
2012-01-10,2.010484775078307
2012-01-11,2.012071848444733
2012-01-12,2.017837739630832
2012-01-13,2.014303349533582
2012-01-17,2.0195982449291585
2012-01-18,2.0327537998072422
2012-01-19,2.0150800905509225
2012-01-20,2.0183886174597023
2012-01-23,1.9732208242434983
2012-01-24,1.9614157949742517
2012-01-25,1.962589643441689
2012-01-26,1.9301710901470075
2012-01-27,1.935606484685336
2012-01-30,1.9041969541671322
2012-01-31,1.8554129936080679
2012-02-01,1.8585656480209922
2012-02-02,1.8563877582143107
2012-02-03,1.842161218674841
2012-02-06,1.8337519734136891
2012-02-07,1.8094034936915295
2012-02-08,1.7229150140666767
2012-02-09,1.740583958617504
2012-02-10,1.7082394155853504
2012-02-13,1.7062955702792417
2012-02-14,1.7498421484822926
2012-02-15,1.7312766363125536
2012-02-16,1.7165621094657009
2012-02-17,1.722917334078398
2012-02-21,1.6919355133571523
2012-02-22,1.684467506173175
2012-02-23,1.6445830719187469
2012-02-24,1.6339409235965119
2012-02-27,1.6007518781571446
2012-02-28,1.5995871693851909
2012-02-29,1.4310732362636438
2012-03-01,1.4467895424442463
2012-03-02,1.4559945560338792
2012-03-05,1.4487961848250714
2012-03-06,1.4616299272768865
2012-03-07,1.4948325561913818
2012-03-08,1.4450112545133018
2012-03-09,1.402625153967759
2012-03-12,1.3725785645329405
2012-03-13,1.3846829016873354
2012-03-14,1.4052645571116409
2012-03-15,1.388359618949099
2012-03-16,1.3917418629654343
2012-03-19,1.3703535386677275
2012-03-20,1.2705152207584596
2012-03-21,1.2638582369779927
2012-03-22,1.2633511749725914
2012-03-23,1.2718352538263258
2012-03-26,1.2540562520182614
2012-03-27,1.2289187557427839
2012-03-28,1.2093498537699123
2012-03-29,1.2053973494355974
2012-03-30,1.185342205535553
2012-04-02,1.1764946395313631
2012-04-03,1.1904751546086487
2012-04-04,1.189990990259831
2012-04-05,1.2288236805620385
2012-04-09,1.2149052145324892
2012-04-10,1.2452346947839295
2012-04-11,1.2848763838648312
2012-04-12,1.288593527343202
2012-04-13,1.3251128053465666
2012-04-16,1.339072397786619
2012-04-17,1.3528875795185729
2012-04-18,1.3728516965328506
2012-04-19,1.3713598764938126
2012-04-20,1.378463662284375
2012-04-23,1.3769277442211953
2012-04-24,1.4002234966618166
2012-04-25,1.417239952087222
2012-04-26,1.4186394882408615
2012-04-27,1.4237017642472085
2012-04-30,1.3966786853037934
2012-05-01,1.4022358165302717
2012-05-02,1.3701411739885592
2012-05-03,1.3839643356276634
2012-05-04,1.3895658813790344
2012-05-07,1.4200854425548641
2012-05-08,1.4219140596654367
2012-05-09,1.4090852036740638
2012-05-10,1.4187791748447864
2012-05-11,1.4115034068822285
2012-05-14,1.3965057460639376
2012-05-15,1.4095234627238966
2012-05-16,1.4099889051510233
2012-05-17,1.4032179892125702
2012-05-18,1.431510939405906
2012-05-21,1.4388642117628114
2012-05-22,1.4444269768410307
2012-05-23,1.4339141614207287
2012-05-24,1.4250658348767131
2012-05-25,1.4226633699256104
2012-05-29,1.4279562226680471
2012-05-30,1.4626334578074345
2012-05-31,1.470900224676066
2012-06-01,1.4352683961756314
2012-06-04,1.4596266428962825
2012-06-05,1.4633925002556092
2012-06-06,1.4827857045528046
2012-06-07,1.5334359503660546
2012-06-08,1.513208325912522
2012-06-11,1.5306478253819107
2012-06-12,1.5406230195851562
2012-06-13,1.548279823334223
2012-06-14,1.538305350973041
2012-06-15,1.5648693750941536
2012-06-18,1.599972977766278
2012-06-19,1.5882040028369757
2012-06-20,1.5948026203520969
2012-06-21,1.5606731795728797
2012-06-22,1.5996390144158839
2012-06-25,1.6091535840275735
2012-06-26,1.6065087018715465
2012-06-27,1.5978360174291395
2012-06-28,1.6020557173988392
2012-06-29,1.5980010163160492
2012-07-02,1.6274765289148745
2012-07-03,1.6273281379295663
2012-07-05,1.6131152839841145
2012-07-06,1.5901696161295449
2012-07-09,1.5898476628453617
2012-07-10,1.5811869328649262
2012-07-11,1.5888369891566658
2012-07-12,1.5770770744587883
2012-07-13,1.5769854816781324
2012-07-16,1.6080062953445589
2012-07-17,1.6163347555467156
2012-07-18,1.6399860832509021
2012-07-19,1.6317859255309022
2012-07-20,1.619700606881082
